+---------------------+----------------------------------------------+----------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields              |
| of the Block class in question. The actual final values may be different                    |
| for different states of the block, or they may depend on a TileEntity etc.                  |
+---------------------+----------------------------------------------+----------+-------------+
| Mod name            | Registry name                                | Hardness |  Resistance |
+---------------------+----------------------------------------------+----------+-------------+
| Better Questing     | betterquesting:submit_station                |     1.00 |        5.00 |
| Biomes O' Plenty    | biomesoplenty:ash_block                      |     0.40 |        5.00 |
| Biomes O' Plenty    | biomesoplenty:bamboo                         |     0.20 |        1.00 |
| Biomes O' Plenty    | biomesoplenty:bamboo_thatching               |     2.00 |       10.00 |
| Biomes O' Plenty    | biomesoplenty:biome_block                    |     0.60 |        5.00 |
| Biomes O' Plenty    | biomesoplenty:blood                          |   100.00 |      500.00 |
| Biomes O' Plenty    | biomesoplenty:blue_fire                      |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:bramble_plant                  |     0.50 |        2.50 |
| Biomes O' Plenty    | biomesoplenty:cherry_door_block              |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:cherry_fence                   |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:cherry_fence_gate              |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:cherry_stairs                  |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:coral                          |     0.60 |        3.00 |
| Biomes O' Plenty    | biomesoplenty:crystal                        |     0.15 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:dirt                           |     0.50 |        2.50 |
| Biomes O' Plenty    | biomesoplenty:double_other_slab              |     2.00 |       21.00 |
| Biomes O' Plenty    | biomesoplenty:double_plant                   |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:double_wood_slab_0             |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:double_wood_slab_1             |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:dried_sand                     |     1.00 |        5.00 |
| Biomes O' Plenty    | biomesoplenty:ebony_door_block               |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:ebony_fence                    |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:ebony_fence_gate               |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:ebony_stairs                   |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:ethereal_door_block            |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:ethereal_fence                 |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:ethereal_fence_gate            |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:ethereal_stairs                |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:eucalyptus_door_block          |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:eucalyptus_fence               |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:eucalyptus_fence_gate          |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:eucalyptus_stairs              |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:farmland_0                     |     0.60 |        3.00 |
| Biomes O' Plenty    | biomesoplenty:farmland_1                     |     0.60 |        3.00 |
| Biomes O' Plenty    | biomesoplenty:fir_door_block                 |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:fir_fence                      |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:fir_fence_gate                 |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:fir_stairs                     |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:flesh                          |     0.40 |        2.00 |
| Biomes O' Plenty    | biomesoplenty:flower_0                       |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:flower_1                       |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:gem_block                      |     5.00 |       30.00 |
| Biomes O' Plenty    | biomesoplenty:gem_ore                        |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:grass                          |     0.00 |        0.00 |
| Biomes O' Plenty    | biomesoplenty:grass_path                     |     0.65 |        3.25 |
| Biomes O' Plenty    | biomesoplenty:hard_ice                       |     0.75 |        5.00 |
| Biomes O' Plenty    | biomesoplenty:hellbark_door_block            |     3.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:hellbark_fence                 |     2.00 |       15.00 |
| Biomes O' Plenty    | biomesoplenty:hellbark_fence_gate            |     2.00 |       15.00 |
