+------------------+---------------------------------+--------------------------------------------------------------------+-----+
| Mod name         | Registry name                   | Entity class name                                                  |  ID |
+------------------+---------------------------------+--------------------------------------------------------------------+-----+
| Better Questing  | betterquesting:placeholder      | betterquesting.api.placeholders.EntityPlaceholder                  |   0 |
| Biomes O' Plenty | biomesoplenty:bop_boat          | biomesoplenty.common.entities.item.EntityBOPBoat                   |   2 |
| Biomes O' Plenty | biomesoplenty:mudball           | biomesoplenty.common.entities.projectiles.EntityMudball            |   1 |
| Biomes O' Plenty | biomesoplenty:wasp              | biomesoplenty.common.entities.EntityWasp                           |   3 |
| Clumps           | clumps:xp_orb_big               | com.blamejared.clumps.entities.EntityXPOrbBig                      |   0 |
| Inspirations     | inspirations:arrow              | knightminer.inspirations.tools.entity.EntityModArrow               |   0 |
| Minecraft        | minecraft:area_effect_cloud     | net.minecraft.entity.EntityAreaEffectCloud                         |   3 |
| Minecraft        | minecraft:armor_stand           | net.minecraft.entity.item.EntityArmorStand                         |  30 |
| Minecraft        | minecraft:arrow                 | net.minecraft.entity.projectile.EntityTippedArrow                  |  10 |
| Minecraft        | minecraft:bat                   | net.minecraft.entity.passive.EntityBat                             |  65 |
| Minecraft        | minecraft:blaze                 | net.minecraft.entity.monster.EntityBlaze                           |  61 |
| Minecraft        | minecraft:boat                  | net.minecraft.entity.item.EntityBoat                               |  41 |
| Minecraft        | minecraft:cave_spider           | net.minecraft.entity.monster.EntityCaveSpider                      |  59 |
| Minecraft        | minecraft:chest_minecart        | net.minecraft.entity.item.EntityMinecartChest                      |  43 |
| Minecraft        | minecraft:chicken               | net.minecraft.entity.passive.EntityChicken                         |  93 |
| Minecraft        | minecraft:commandblock_minecart | net.minecraft.entity.item.EntityMinecartCommandBlock               |  40 |
| Minecraft        | minecraft:cow                   | net.minecraft.entity.passive.EntityCow                             |  92 |
| Minecraft        | minecraft:creeper               | net.minecraft.entity.monster.EntityCreeper                         |  50 |
| Minecraft        | minecraft:donkey                | net.minecraft.entity.passive.EntityDonkey                          |  31 |
| Minecraft        | minecraft:dragon_fireball       | net.minecraft.entity.projectile.EntityDragonFireball               |  26 |
| Minecraft        | minecraft:egg                   | net.minecraft.entity.projectile.EntityEgg                          |   7 |
| Minecraft        | minecraft:elder_guardian        | net.minecraft.entity.monster.EntityElderGuardian                   |   4 |
| Minecraft        | minecraft:ender_crystal         | net.minecraft.entity.item.EntityEnderCrystal                       | 200 |
